Date,Open,High,Low,Close,VWAP,Volume,Amount,TurnoverRate,MarketCap,PE,PB,PS,DividendYield,Beta,Volatility,FairValue,Mispricing
2020-01-02,35.0236,35.5853,31.1488,31.4951,33.3132,1.71,57.09,0.00918,15183.53,45.62,1.625,10.64,0.04478,1.27,0.3739,12.1273,1.597
2020-01-03,31.2174,31.3487,28.2034,28.3456,29.7788,1.76,52.43,0.00943,13665.18,38.25,1.409,9.626,0.0196,1.27,0.4346,13.029,1.1756
2020-01-06,28.6879,29.0777,25.2335,25.511,27.1275,2.29,62,0.01224,12298.66,33.34,1.221,8.653,0.02924,1.27,0.4922,13.4674,0.8943
2020-01-07,25.457,26.0871,22.5103,22.9599,24.2536,1.75,42.37,0.00935,11068.79,29.77,1.06,7.804,0.00143,1.27,0.547,13.5845,0.6902
2020-01-08,22.8265,23.5828,19.6402,20.6639,21.6784,3.83,83.09,0.02052,9961.91,26.74,0.921,7.034,0.04351,1.27,0.599,13.6275,0.5163
2020-01-09,20.7947,21.3407,18.1335,18.5975,19.7166,1.57,30.88,0.00839,8965.72,24.1,0.801,6.34,0.0164,1.27,0.6484,13.6209,0.3654
2020-01-10,18.5845,19.1295,16.1912,16.7378,17.6608,2.04,35.97,0.01091,8069.15,21.72,0.698,5.714,0.02009,1.27,0.6954,13.6137,0.2295
2020-01-13,16.7754,17.3757,14.5686,15.064,15.9459,3.49,55.7,0.0187,7262.23,19.58,0.609,5.152,0.04158,1.27,0.74,13.6015,0.1075
2020-01-14,14.5354,15.3457,13.1227,13.5576,14.1404,1.87,26.41,0.01,6536.01,17.68,0.531,4.652,0.04001,1.27,0.7823,13.5691,-0.0008
2020-01-15,13.4424,13.9298,12.3313,12.8724,13.144,1.78,23.33,0.00951,6205.68,16.81,0.49,4.423,0.01649,1.27,0.7833,13.564,-0.051
2020-01-16,12.5597,13.3158,12.4101,12.8152,12.7752,2.21,28.27,0.01185,6178.11,16.79,0.474,4.418,0.01041,1.27,0.7477,13.5337,-0.0531
2020-01-17,12.6572,14.168,12.2605,13.9615,13.2618,2.43,32.17,0.01299,6730.74,18.32,0.502,4.819,0.00658,1.27,0.7813,13.5287,0.032
2020-01-20,14.1769,14.3123,12.8678,13.0762,13.6083,2.03,27.61,0.01086,6303.91,17.15,0.458,4.512,0.00147,1.27,0.7926,13.5447,-0.0346
2020-01-21,12.3946,12.8405,11.8812,12.3834,12.3749,2.31,28.54,0.01235,5969.92,16.23,0.422,4.269,0.01727,1.27,0.795,13.5684,-0.0873
2020-01-22,12.5263,12.8284,12.2102,12.3868,12.4879,2.07,25.91,0.01111,5971.55,16.28,0.412,4.284,0.02669,1.27,0.7555,13.537,-0.085
2020-01-23,12.2831,13.542,11.9053,13.3529,12.7708,2.1,26.79,0.01123,6437.34,17.51,0.433,4.606,0.04526,1.27,0.7796,13.5848,-0.0171
2020-01-24,12.8904,14.8432,12.4154,14.3574,13.6266,2.88,39.2,0.0154,6921.58,18.84,0.454,4.957,0.04299,1.27,0.8003,13.5845,0.0569
2020-01-27,14.2358,14.6131,13.8055,14.1546,14.2022,2.9,41.2,0.01553,6823.81,18.55,0.437,4.881,0.03796,1.27,0.7715,13.6148,0.0396
2020-01-28,14.3482,14.9937,13.0123,13.5231,13.9694,2.31,32.32,0.01239,6519.37,17.66,0.408,4.647,0.03695,1.27,0.7684,13.6776,-0.0113
2020-01-29,13.4181,14.4681,13.021,14.1242,13.7579,2.53,34.79,0.01354,6809.16,18.5,0.417,4.867,0.03946,1.27,0.7652,13.6555,0.0343
2020-01-30,14.5859,15.0134,12.5195,12.7118,13.7076,2.86,39.19,0.01531,6128.24,16.68,0.367,4.388,0.04496,1.27,0.8063,13.6451,-0.0684
2020-01-31,12.7412,13.5522,12.0925,12.671,12.7642,2.04,26.02,0.01092,6108.58,16.56,0.358,4.357,0.01958,1.27,0.7686,13.7087,-0.0757
2020-02-03,12.9953,14.0842,12.783,13.9381,13.4501,2.44,32.88,0.01309,6719.43,18.23,0.385,4.796,0.04191,1.27,0.8095,13.7109,0.0166
2020-02-04,14.6134,14.8301,13.7454,13.8743,14.2658,2.49,35.59,0.01336,6688.69,18.16,0.375,4.777,0.04008,1.27,0.7727,13.7145,0.0117
2020-02-05,13.5878,14.1136,13.4077,13.6591,13.6921,1.83,25.05,0.0098,6584.95,17.9,0.362,4.709,0.04151,1.27,0.7463,13.7059,-0.0034
2020-02-06,13.9505,14.7735,13.3911,13.8287,13.9859,2.17,30.38,0.01163,6666.69,18.13,0.359,4.771,0.00776,1.27,0.7189,13.7021,0.0092
2020-02-07,13.7348,13.9871,13.6352,13.8964,13.8134,2.47,34.08,0.01321,6699.35,18.25,0.354,4.802,0.02102,1.27,0.6868,13.6866,0.0153
2020-02-10,13.504,14.5783,12.8406,13.8951,13.7045,2.06,28.2,0.01102,6698.73,18.32,0.347,4.819,0.04747,1.27,0.6526,13.6469,0.0182
2020-02-11,13.8879,14.4122,12.4603,13.2179,13.4946,1.86,25.15,0.00998,6372.26,17.47,0.324,4.597,0.0483,1.27,0.6586,13.618,-0.0294
