Date,Open,High,Low,Close,VWAP,Volume,Amount,TurnoverRate,MarketCap,PE,PB,PS,DividendYield,Beta,Volatility,FairValue,Mispricing
2020-01-02,73.5188,73.7545,65.8725,66.3507,69.8741,0.9,63.22,0.01235,10203.66,22.8,1.084,4.582,0.0107,1.18,0.3463,51.1297,0.2977
2020-01-03,65.6455,66.7432,58.4184,59.7156,62.6307,0.92,57.85,0.01261,9183.3,22.61,0.936,4.124,0.0471,1.18,0.4084,46.4342,0.286
2020-01-06,59.8611,60.8762,52.4845,53.7441,56.7415,0.94,53.59,0.01289,8264.97,21.69,0.811,3.716,0.01944,1.18,0.4673,43.6051,0.2325
2020-01-07,54.8884,56.544,47.6193,48.3697,51.8553,0.93,48.06,0.01265,7438.47,20.38,0.704,3.344,0.00731,1.18,0.5233,41.7983,0.1572
2020-01-08,47.3042,49.2354,42.7561,43.5327,45.7071,1.01,45.98,0.01373,6694.62,18.82,0.613,3.007,0.03039,1.18,0.5765,40.7799,0.0675
2020-01-09,44.6626,45.5661,39.5462,40.2677,42.5107,0.9,38.3,0.0123,6192.52,17.66,0.55,2.78,0.03057,1.18,0.6072,40.2471,0.0005
2020-01-10,40.5376,42.501,39.9974,42.1229,41.2897,1.35,55.86,0.01847,6477.82,18.58,0.558,2.899,0.03432,1.18,0.6135,40.0414,0.052
2020-01-13,42.089,43.1193,39.5806,40.4794,41.3171,1.4,57.68,0.01905,6225.08,17.9,0.52,2.779,0.02487,1.18,0.6137,39.9881,0.0123
2020-01-14,39.2087,39.3823,36.9663,37.4583,38.2539,1.01,38.69,0.01381,5760.48,16.54,0.468,2.564,0.0045,1.18,0.6423,40.0797,-0.0654
2020-01-15,36.6336,41.5687,34.4863,39.2933,37.9955,0.73,27.83,0.01,6042.66,17.32,0.477,2.685,0.03238,1.18,0.6491,40.19,-0.0223
2020-01-16,41.4366,43.2104,34.2068,36.1045,38.7396,1.42,55.15,0.01943,5552.29,15.89,0.427,2.464,0.00359,1.18,0.681,40.286,-0.1038
2020-01-17,34.6681,41.1944,33.3854,39.715,37.2407,1.02,37.92,0.0139,6107.52,17.52,0.457,2.716,0.00185,1.18,0.7263,40.2374,-0.013
2020-01-20,39.9526,42.6626,38.9241,40.5329,40.518,1.13,45.74,0.01541,6233.31,17.93,0.455,2.78,0.02708,1.18,0.7064,40.1564,0.0094
