Date,Open,High,Low,Close,VWAP,Volume,Amount,TurnoverRate,MarketCap,PE,PB,PS,DividendYield,Beta,Volatility,FairValue,Mispricing
2020-01-02,215.2725,216.1601,192.7975,193.9097,204.5349,1.41,287.98,0.01953,20082.27,16.48,1.367,4.337,0.00672,0.98,0.407,206.704,-0.0619
2020-01-03,191.1096,207.327,183.6905,201.4542,195.8954,1.25,245.2,0.01737,20863.62,16.46,1.308,4.494,0.03936,0.98,0.4175,215.2533,-0.0641
2020-01-06,198.831,213.9099,194.6423,212.3998,204.9458,1.27,259.66,0.01758,21997.2,16.79,1.274,4.721,0.01842,0.98,0.4398,222.5917,-0.0458
2020-01-07,212.2306,224.1738,209.6839,222.4353,217.1309,1.01,218.36,0.01395,23036.53,17.11,1.238,4.946,0.03788,0.98,0.4553,229.367,-0.0302
2020-01-08,227.2402,228.5843,222.4437,227.2813,226.3874,1.09,247.7,0.01518,23538.4,17.1,1.178,5.057,0.02285,0.98,0.4498,235.2149,-0.0337
2020-01-09,227.3129,247.4225,224.5991,243.9496,235.821,1.43,337.99,0.01988,25264.66,18.05,1.181,5.437,0.03627,0.98,0.4855,239.5469,0.0184
2020-01-10,246.1224,256.2513,242.7873,249.8148,248.744,1.72,428.47,0.0239,25872.09,18.18,1.134,5.561,0.0247,0.98,0.4803,244.4128,0.0221
2020-01-13,256.0336,263.6681,242.0486,244.4852,251.5589,1.94,488.96,0.02697,25320.13,17.52,1.044,5.431,0.00939,0.98,0.4733,248.4599,-0.016
2020-01-14,238.9955,244.6519,224.3393,229.0528,234.2599,1.66,388.64,0.02302,23721.87,16.33,0.923,5.11,0.02366,0.98,0.4997,249.4382,-0.0817
2020-01-15,224.4616,242.4432,221.9319,241.0923,232.4823,1.12,259.59,0.01549,24968.75,17.12,0.919,5.397,0.00913,0.98,0.5164,249.814,-0.0349
2020-01-16,239.1246,246.8642,235.5335,241.9144,240.8592,1.61,387.63,0.02233,25053.89,17.07,0.875,5.419,0.03189,0.98,0.4933,252.2038,-0.0408
2020-01-17,233.6626,240.0633,230.4018,238.4585,235.6466,1.33,312.35,0.01839,24695.98,16.74,0.82,5.342,0.03971,0.98,0.48,253.6754,-0.06
2020-01-20,234.0445,253.1965,229.685,246.6431,240.8923,1.31,314.55,0.01812,25543.61,17.25,0.809,5.532,0.01278,0.98,0.4832,254.5428,-0.031
