Date,Open,High,Low,Close,VWAP,Volume,Amount,TurnoverRate,MarketCap,PE,PB,PS,DividendYield,Beta,Volatility,FairValue,Mispricing
2020-01-02,24.5638,24.7074,23.5769,23.7026,24.1377,1.76,42.57,0.00926,10817.96,18.35,1.366,2.736,0.01373,1.09,0.2076,23.8535,-0.0063
2020-01-03,23.6862,23.8108,21.5269,21.8146,22.7096,1.7,38.52,0.00891,9956.28,18,1.175,2.52,0.03457,1.09,0.2604,22.438,-0.0278
2020-01-06,21.9371,22.1571,21.7796,21.8915,21.9413,2.06,45.3,0.01084,9991.4,18.15,1.107,2.533,0.01988,1.09,0.2502,22.3926,-0.0224
2020-01-07,21.8031,22.3473,21.6152,22.1337,21.9748,1.6,35.07,0.00838,10101.92,18.39,1.055,2.567,0.01493,1.09,0.2465,22.3888,-0.0114
2020-01-08,22.1024,23.2139,21.6638,22.8101,22.4475,1.91,42.83,0.01002,10410.61,18.92,1.028,2.64,0.01563,1.09,0.2584,22.4867,0.0144
2020-01-09,22.8489,22.9668,21.9231,22.1579,22.4742,1.8,40.52,0.00947,10112.97,18.38,0.947,2.565,0.04433,1.09,0.2682,22.5327,-0.0166
2020-01-10,21.882,23.1689,21.3955,22.6873,22.2834,1.8,40.16,0.00946,10354.59,18.9,0.923,2.638,0.04205,1.09,0.2737,22.4772,0.0094
2020-01-13,22.521,23.3368,21.9907,22.7366,22.6463,1.96,44.33,0.01028,10377.08,18.93,0.882,2.643,0.04104,1.09,0.2618,22.5322,0.0091
2020-01-14,22.8966,23.3533,22.6144,23.0702,22.9836,2.15,49.45,0.01129,10529.35,19.22,0.855,2.682,0.02866,1.09,0.2603,22.5666,0.0223
2020-01-15,22.9404,23.0423,22.2295,22.4302,22.6606,1.66,37.64,0.00872,10237.24,18.73,0.796,2.614,0.00685,1.09,0.2693,22.5612,-0.0058
2020-01-16,22.3118,22.61,21.7516,21.8636,22.1342,2.38,52.65,0.01249,9978.65,18.27,0.744,2.551,0.04204,1.09,0.2759,22.5731,-0.0314
2020-01-17,21.6103,22.213,21.1334,21.9747,21.7329,1.97,42.74,0.01033,10029.34,18.33,0.718,2.559,0.03699,1.09,0.2661,22.6551,-0.03
2020-01-20,22.2548,22.4082,21.9474,22.1439,22.1886,2.16,47.92,0.01134,10106.59,18.45,0.697,2.576,0.023,1.09,0.2589,22.7201,-0.0254
2020-01-21,22.2582,22.7739,21.9953,22.3901,22.3544,1.63,36.37,0.00854,10218.96,18.67,0.679,2.606,0.02351,1.09,0.2548,22.7393,-0.0154
2020-01-22,22.6813,22.7485,21.7342,21.87,22.2585,1.9,42.29,0.00997,9981.55,18.31,0.64,2.556,0.03896,1.09,0.2605,22.6862,-0.036
2020-01-23,21.887,22.7798,21.5227,22.3471,22.1342,1.92,42.42,0.01006,10199.33,18.68,0.632,2.608,0.04281,1.09,0.2648,22.7538,-0.0179
2020-01-24,22.3532,22.5213,21.8094,22.0487,22.1832,1.9,42.08,0.00996,10063.15,18.44,0.603,2.574,0.00205,1.09,0.2622,22.7664,-0.0315
2020-01-27,22.0402,22.4168,21.8789,22.2545,22.1476,2.29,50.63,0.012,10157.07,18.61,0.589,2.597,0.03881,1.09,0.2565,22.8033,-0.0241
2020-01-28,22.117,23.5533,21.9146,23.2938,22.7197,2.76,62.77,0.01451,10631.39,19.49,0.598,2.72,0.0063,1.09,0.2807,22.8132,0.0211
2020-01-29,23.5759,23.7816,22.6641,22.9131,23.2337,1.78,41.3,0.00933,10457.64,19.14,0.571,2.671,0.01484,1.09,0.2796,22.9192,-0.0003
2020-01-30,22.87,23.0572,22.1497,22.3694,22.6116,1.79,40.38,0.00938,10209.48,18.74,0.541,2.616,0.04186,1.09,0.2845,22.8501,-0.021
2020-01-31,22.0595,23.2557,21.6815,23.0513,22.512,1.86,41.89,0.00977,10520.74,19.26,0.542,2.688,0.02235,1.09,0.2945,22.911,0.0061
2020-02-03,22.5372,23.2145,22.3771,22.9892,22.7795,1.67,38.12,0.00879,10492.38,19.23,0.526,2.684,0.00797,1.09,0.2819,22.9306,0.0026
2020-02-04,22.8547,23.1337,22.5271,22.8055,22.8302,1.89,43.04,0.0099,10408.52,19.12,0.507,2.668,0.02062,1.09,0.2741,22.8877,-0.0036
2020-02-05,22.9655,23.031,22.6661,22.7128,22.8439,1.9,43.35,0.00996,10366.22,19.04,0.492,2.657,0.04557,1.09,0.2637,22.8921,-0.0078
2020-02-06,23.0991,23.2315,22.4909,22.6402,22.8654,1.6,36.68,0.00842,10333.09,19.03,0.478,2.656,0.0146,1.09,0.253,22.8309,-0.0084
2020-02-07,22.472,23.3303,22.2614,22.9853,22.7623,1.7,38.69,0.00892,10490.58,19.31,0.474,2.694,0.02645,1.09,0.2525,22.853,0.0058
2020-02-10,22.984,23.2581,22.303,22.4767,22.7554,2.26,51.35,0.01185,10258.45,18.91,0.452,2.639,0.02361,1.09,0.2574,22.84,-0.0159
2020-02-11,22.5866,23.4633,22.385,23.3632,22.9495,2.52,57.83,0.01323,10663.09,19.65,0.459,2.743,0.00513,1.09,0.2758,22.8378,0.023
2020-02-12,23.2434,23.3592,22.9682,23.1254,23.174,2.2,50.95,0.01154,10554.52,19.43,0.444,2.712,0.01694,1.09,0.2701,22.9047,0.0096
2020-02-13,23.0817,23.4406,22.2045,22.4863,22.8033,2.74,62.45,0.01438,10262.84,18.94,0.422,2.643,0.03533,1.09,0.2786,22.8519,-0.016
2020-02-14,22.0392,23.4182,21.6174,23.261,22.584,1.81,40.78,0.00948,10616.41,19.6,0.427,2.735,0.02699,1.09,0.292,22.8364,0.0186
2020-02-17,23.3849,23.8301,22.158,22.5692,22.9855,1.86,42.82,0.00978,10300.68,19.02,0.406,2.655,0.03399,1.09,0.301,22.862,-0.0128
2020-02-18,22.5668,22.9184,22.3851,22.8217,22.673,1.87,42.48,0.00984,10415.92,19.3,0.402,2.694,0.04218,1.09,0.2948,22.7625,0.0026
2020-02-19,22.8862,23.0246,21.6412,21.9808,22.3832,2.18,48.85,0.01146,10032.13,18.66,0.379,2.605,0.00489,1.09,0.3093,22.6931,-0.0314
2020-02-20,21.6756,22.1203,21.5865,21.9463,21.8322,1.78,38.9,0.00935,10016.41,18.66,0.371,2.604,0.04901,1.09,0.2951,22.6703,-0.0319
2020-02-21,21.7504,23.5603,21.5079,23.328,22.5367,2.58,58.17,0.01355,10647.01,19.82,0.387,2.766,0.02054,1.09,0.3303,22.6915,0.0281
2020-02-24,23.3583,23.9096,21.4057,21.8049,22.6196,2.27,51.29,0.0119,9951.85,18.53,0.354,2.587,0.00999,1.09,0.3656,22.7296,-0.0407
2020-02-25,21.9019,23.1864,21.3713,22.6213,22.2702,1.74,38.77,0.00914,10324.46,19.24,0.361,2.686,0.00153,1.09,0.3771,22.6755,-0.0024
2020-02-26,22.7374,23.3245,21.7318,22.3002,22.5235,1.93,43.55,0.01015,10177.91,18.97,0.349,2.647,0.0126,1.09,0.3695,22.6931,-0.0173
2020-02-27,22.057,23.5379,21.7543,23.2782,22.6569,2.17,49.14,0.01139,10624.29,19.73,0.358,2.754,0.00742,1.09,0.3858,22.7595,0.0228
2020-02-28,22.8414,23.2004,22.2027,22.5845,22.7073,1.62,36.75,0.0085,10307.67,19.18,0.341,2.676,0.03537,1.09,0.3902,22.7641,-0.0079
