Date,Open,High,Low,Close,VWAP,Volume,Amount,TurnoverRate,MarketCap,PE,PB,PS,DividendYield,Beta,Volatility,FairValue,Mispricing
2020-01-02,40.8664,41.5428,36.4661,36.7679,38.9108,5.3,206.15,0.01671,17068.71,53.17,4.247,3.815,0.00426,1.14,0.3986,12.7676,1.8798
2020-01-03,36.4649,37.0772,32.2516,33.0911,34.7212,4.7,163.08,0.01481,15361.84,50.23,3.552,3.444,0.00499,1.14,0.458,12.1958,1.7133
2020-01-06,33.5572,33.9615,29.2854,29.782,31.6465,5.95,188.21,0.01875,13825.65,45.39,2.986,3.112,0.03813,1.14,0.5145,12.1794,1.4453
2020-01-07,29.4566,30.5245,26.4102,26.8038,28.2988,5.16,145.96,0.01626,12443.09,40.88,2.522,2.803,0.00886,1.14,0.5681,12.1974,1.1975
2020-01-08,26.5193,26.9327,23.8549,24.1234,25.3576,5.11,129.7,0.01613,11198.78,36.87,2.138,2.528,0.03532,1.14,0.6191,12.2003,0.9773
2020-01-09,24.4195,24.5804,21.5387,21.7111,23.0624,6.19,142.7,0.01951,10078.9,33.23,1.819,2.278,0.03432,1.14,0.6675,12.2105,0.7781
2020-01-10,21.7242,22.0092,19.2171,19.54,20.6226,4.79,98.82,0.01511,9071.01,29.91,1.552,2.051,0.03421,1.14,0.7135,12.2343,0.5971
2020-01-13,19.8223,20.3306,17.2333,17.586,18.7431,6.08,114.05,0.01919,8163.91,26.93,1.328,1.846,0.01742,1.14,0.7572,12.2549,0.435
2020-01-14,17.7057,17.8938,15.7007,15.8274,16.7819,5.07,85.13,0.01599,7347.52,24.25,1.139,1.663,0.00562,1.14,0.7987,12.2669,0.2903
2020-01-15,15.4614,15.6659,13.9871,14.2446,14.8397,4.93,73.19,0.01555,6612.77,21.8,0.979,1.495,0.00854,1.14,0.8382,12.3049,0.1576
2020-01-16,14.5385,14.888,12.5401,12.8202,13.6967,7.93,108.67,0.02502,5951.49,19.6,0.843,1.344,0.02467,1.14,0.8756,12.3417,0.0388
2020-01-17,13.0953,13.6647,12.3627,12.7943,12.9793,6.37,82.74,0.0201,5939.47,19.57,0.807,1.342,0.00456,1.14,0.8334,12.3594,0.0352
2020-01-20,12.9349,13.6137,12.1187,12.4403,12.7769,6.27,80.12,0.01977,5775.15,19.05,0.754,1.306,0.00667,1.14,0.8137,12.364,0.0062
2020-01-21,12.5296,12.6181,12.2414,12.3897,12.4447,5.38,66.96,0.01697,5751.66,19,0.722,1.303,0.01711,1.14,0.7763,12.3641,0.0021
2020-01-22,12.3677,12.5185,11.8627,12.1842,12.2333,5.56,68.04,0.01754,5656.25,18.76,0.684,1.286,0.00283,1.14,0.7506,12.3367,-0.0124
2020-01-23,12.392,13.2201,11.6037,12.0485,12.3161,5.1,62.77,0.01607,5593.27,18.57,0.653,1.273,0.04687,1.14,0.7219,12.3406,-0.0237
2020-01-24,12.0335,13.1663,11.408,12.5045,12.2781,5.62,69.04,0.01773,5804.96,19.31,0.654,1.324,0.01855,1.14,0.7159,12.3316,0.014
2020-01-27,12.9017,13.2199,12.2547,12.4615,12.7094,4.93,62.6,0.01553,5784.96,19.26,0.631,1.32,0.00107,1.14,0.6828,12.3369,0.0101
2020-01-28,12.7129,13.7465,12.371,13.3276,13.0395,16.83,219.52,0.05308,6187.06,20.65,0.653,1.416,0.01361,1.14,0.7038,12.3193,0.0819
2020-01-29,13.3073,13.6024,11.7076,11.9949,12.653,6.23,78.87,0.01966,5568.36,18.58,0.57,1.274,0.04962,1.14,0.748,12.3352,-0.0276
2020-01-30,11.7485,12.7068,11.4466,12.0393,11.9853,4.95,59.31,0.0156,5588.99,18.65,0.555,1.279,0.01129,1.14,0.7136,12.345,-0.0248
2020-01-31,11.9624,12.608,11.2477,12.1394,11.9894,4.69,56.22,0.01478,5635.47,18.76,0.543,1.286,0.03817,1.14,0.6845,12.3897,-0.0202
2020-02-03,12.3836,12.6604,11.2639,11.5407,11.9621,7.11,85,0.02241,5357.54,17.86,0.502,1.224,0.00396,1.14,0.6894,12.3803,-0.0678
2020-02-04,11.6963,11.8454,11.1988,11.3964,11.5342,8.04,92.7,0.02534,5290.54,17.66,0.482,1.211,0.00714,1.14,0.6649,12.3702,-0.0787
2020-02-05,11.3536,12.5192,11.1468,12.2362,11.814,4.62,54.57,0.01457,5680.38,18.98,0.504,1.301,0.02494,1.14,0.6901,12.3634,-0.0103
2020-02-06,11.7022,12.4964,11.2404,12.2311,11.9175,4.48,53.35,0.01412,5678.02,18.97,0.491,1.301,0.00792,1.14,0.6559,12.37,-0.0112
2020-02-07,12.132,12.3668,11.0892,11.5429,11.7827,7.49,88.24,0.02361,5358.55,17.93,0.452,1.23,0.03201,1.14,0.6678,12.3541,-0.0657
2020-02-10,11.1403,11.3195,10.8106,11.1497,11.105,9.4,104.36,0.02963,5175.99,17.3,0.425,1.186,0.04028,1.14,0.6614,12.378,-0.0992
2020-02-11,11.4815,12.4604,11.2558,12.2646,11.8656,6.01,71.36,0.01896,5693.59,19.06,0.457,1.307,0.01809,1.14,0.7077,12.3618,-0.0079
2020-02-12,13,13.8563,11.9966,12.4397,12.8232,6.07,77.84,0.01914,5774.84,19.37,0.452,1.328,0.01889,1.14,0.6837,12.3466,0.0075
2020-02-13,12.5483,13.3164,12.0792,12.9928,12.7342,10.49,133.52,0.03306,6031.64,20.26,0.462,1.389,0.02916,1.14,0.6848,12.3437,0.0526
2020-02-14,12.71,13.1108,11.9755,12.3971,12.5484,4.41,55.34,0.01391,5755.09,19.37,0.431,1.328,0.04389,1.14,0.687,12.3496,0.0038
2020-02-17,12.2585,12.4109,11.6211,12.1002,12.0977,5.27,63.78,0.01662,5617.28,18.91,0.411,1.297,0.00439,1.14,0.6716,12.3154,-0.0175
2020-02-18,11.9913,12.6365,11.6067,12.4701,12.1761,5.52,67.27,0.01742,5788.97,19.49,0.415,1.336,0.01944,1.14,0.6623,12.3212,0.0121
