Date,Open,High,Low,Close,VWAP,Volume,Amount,TurnoverRate,MarketCap,PE,PB,PS,DividendYield,Beta,Volatility,FairValue,Mispricing
2020-01-02,48.513,48.961,42.3667,42.8871,45.6819,1.57,71.86,0.01299,15292.27,19.57,1.887,4.455,0.04656,1.05,0.3995,40.8136,0.0508
2020-01-03,42.8403,43.3797,37.9431,38.5984,40.6904,0.84,34.09,0.00692,13763.04,19.05,1.559,4.003,0.01339,1.05,0.4589,37.6841,0.0243
2020-01-06,37.6747,38.7583,34.7526,36.0307,36.8041,1.25,46.04,0.01033,12847.45,18.81,1.351,3.735,0.01566,1.05,0.4888,35.5744,0.0128
2020-01-07,35.7121,36.0842,32.0444,32.5411,34.0955,1.07,36.65,0.00888,11603.19,17.72,1.142,3.377,0.03291,1.05,0.5412,34.0612,-0.0446
2020-01-08,33.1208,35.0569,31.6831,33.9959,33.4642,1.27,42.42,0.01047,12121.9,19.07,1.122,3.535,0.03502,1.05,0.5496,33.0274,0.0293
2020-01-09,34.2967,34.5328,32.167,32.389,33.3464,0.87,28.95,0.00717,11548.93,18.43,1.011,3.365,0.02959,1.05,0.5597,32.5222,-0.0041
2020-01-10,32.6618,33.2202,31.2149,32.7778,32.4687,1.06,34.41,0.00875,11687.57,18.81,0.97,3.401,0.02081,1.05,0.5412,32.2254,0.0171
2020-01-13,32.1413,33.9139,31.148,32.5218,32.4312,1.31,42.58,0.01084,11596.28,18.76,0.915,3.377,0.00263,1.05,0.5204,32.027,0.0154
2020-01-14,32.8291,34.2133,29.5474,30.7867,31.8441,1.36,43.39,0.01125,10977.61,17.8,0.826,3.205,0.00321,1.05,0.5367,31.9171,-0.0354
2020-01-15,30.2333,33.2309,29.5133,32.4671,31.3611,1.1,34.64,0.00912,11576.79,18.85,0.833,3.394,0.02887,1.05,0.5532,31.7673,0.022
2020-01-16,33.2858,33.6804,28.8284,29.2204,31.2537,2.61,81.63,0.02157,10419.11,17.02,0.718,3.064,0.02496,1.05,0.6049,31.6436,-0.0766
2020-01-17,30.3975,31.4499,29.8862,30.3392,30.5182,0.97,29.72,0.00804,10818.03,17.74,0.716,3.194,0.03624,1.05,0.605,31.4853,-0.0364
2020-01-20,29.1429,31.262,28.717,30.8644,29.9966,1.06,31.75,0.00874,11005.32,18.07,0.7,3.253,0.03393,1.05,0.5885,31.427,-0.0179
