Date,Open,High,Low,Close,VWAP,Volume,Amount,TurnoverRate,MarketCap,PE,PB,PS,DividendYield,Beta,Volatility,FairValue,Mispricing
2020-01-02,70.9801,71.3412,62.5628,63.0498,66.9835,1.49,99.71,0.03029,4241.07,19.69,0.613,2.898,0.04233,0.93,0.2447,59.6225,0.0575
2020-01-03,63.2558,63.7276,56.2577,56.7448,59.9965,0.88,52.7,0.01787,3816.96,20.12,0.537,2.609,0.00247,0.93,0.3118,52.4403,0.0821
2020-01-06,56.6376,57.7398,50.2777,51.0703,53.9314,0.91,48.94,0.01846,3435.26,19.96,0.472,2.356,0.00069,0.93,0.3756,47.5331,0.0744
2020-01-07,50.4762,50.9224,45.4062,45.9633,48.192,0.73,35.05,0.0148,3091.74,19.25,0.415,2.118,0.03862,0.93,0.4362,44.2865,0.0379
2020-01-08,46.252,47.6596,40.7967,41.5015,44.0525,0.75,33.23,0.01535,2791.61,18.22,0.367,1.911,0.0476,0.93,0.4914,42.1895,-0.0163
2020-01-09,40.0747,43.7207,39.0835,42.116,41.2487,1.02,42.27,0.02085,2832.95,19.08,0.366,1.947,0.00275,0.93,0.4786,40.8481,0.031
2020-01-10,42.4064,43.7588,40.1459,41.3693,41.9201,1.03,43.26,0.021,2782.72,19.06,0.353,1.913,0.01459,0.93,0.4688,40.1253,0.031
2020-01-13,41.5527,41.8746,39.0827,39.5933,40.5258,1.03,41.83,0.021,2663.25,18.4,0.331,1.831,0.04481,0.93,0.4794,39.7408,-0.0037
2020-01-14,40.2771,40.7561,37.3654,37.9488,39.0869,1.23,48.16,0.02507,2552.64,17.68,0.312,1.759,0.03784,0.93,0.4884,39.6226,-0.0422
2020-01-15,37.7971,38.7388,37.4529,38.3726,38.0903,0.85,32.19,0.0172,2581.14,17.89,0.31,1.78,0.03858,0.93,0.4728,39.5654,-0.0301
2020-01-16,39.0335,39.3667,35.7914,36.167,37.5896,2.24,84.35,0.04566,2432.78,16.88,0.287,1.679,0.03037,0.93,0.4948,39.4925,-0.0842
2020-01-17,35.4356,40.4673,34.3224,39.7837,37.5022,1.04,39.01,0.02117,2676.06,18.57,0.311,1.848,0.01283,0.93,0.5494,39.4474,0.0085
2020-01-20,39.1975,39.4242,37.656,38.1025,38.5951,0.95,36.79,0.0194,2562.98,17.79,0.293,1.77,0.03941,0.93,0.5555,39.4143,-0.0333
2020-01-21,40.3884,41.436,37.2025,38.4421,39.3673,2.27,89.19,0.0461,2585.82,17.94,0.291,1.785,0.00803,0.93,0.5348,39.3868,-0.024
2020-01-22,39.645,40.8687,36.8133,38.1702,38.8743,0.73,28.35,0.01484,2567.53,17.83,0.284,1.775,0.0073,0.93,0.5137,39.3221,-0.0293
2020-01-23,37.5183,38.7163,37.1744,38.2309,37.91,1,37.86,0.02032,2571.62,17.93,0.28,1.784,0.01525,0.93,0.4893,39.155,-0.0236
2020-01-24,37.3898,41.2843,36.1001,39.8173,38.6479,1.08,41.87,0.02204,2678.32,18.74,0.287,1.865,0.01683,0.93,0.4977,38.9702,0.0217
2020-01-27,38.9185,40.2692,37.5117,38.5603,38.8149,1.15,44.77,0.02347,2593.77,18.19,0.274,1.81,0.0084,0.93,0.4979,38.8566,-0.0076
2020-01-28,38.5813,40.1739,38.2443,39.88,39.2199,1.61,63.18,0.03278,2682.54,18.81,0.279,1.872,0.02495,0.93,0.5002,38.8322,0.027
2020-01-29,39.8446,40.7997,35.1546,35.892,37.9227,1.09,41.22,0.02212,2414.28,16.93,0.247,1.685,0.0034,0.93,0.5545,38.8028,-0.075
2020-01-30,36.3431,39.3722,34.9802,38.5324,37.307,1.29,48.23,0.02631,2591.9,18.13,0.262,1.804,0.00528,0.93,0.5852,38.8774,-0.0089
2020-01-31,37.2863,39.8256,36.3598,38.7006,38.0431,0.89,33.94,0.01815,2603.21,18.2,0.259,1.811,0.04426,0.93,0.5594,38.8892,-0.0048
2020-02-03,38.3005,40.7701,36.7201,39.0951,38.7215,0.9,34.92,0.01835,2629.75,18.35,0.258,1.826,0.00378,0.93,0.5395,38.9462,0.0038
2020-02-04,39.4439,40.0938,38.4957,39.1301,39.2909,1.02,40.23,0.02083,2632.1,18.36,0.255,1.827,0.00693,0.93,0.5133,38.9349,0.005
2020-02-05,39.1998,40.4446,38.982,40.2436,39.7175,1.16,45.91,0.02352,2707,18.91,0.258,1.882,0.01445,0.93,0.5102,38.8413,0.0361
2020-02-06,39.7506,40.9771,39.4199,40.0739,40.0554,1.38,55.22,0.02805,2695.58,18.87,0.254,1.878,0.02286,0.93,0.488,38.7955,0.033
2020-02-07,40.4435,41.9187,38.7562,39.637,40.1889,1.5,60.47,0.03062,2666.2,18.67,0.248,1.858,0.01235,0.93,0.4723,38.7479,0.0229
2020-02-10,40.2829,40.8305,35.5953,36.0631,38.193,1.15,43.91,0.02339,2425.8,17.04,0.222,1.695,0.03945,0.93,0.5202,38.5793,-0.0652
2020-02-11,36.4406,39.7261,36.0191,39.3323,37.8795,1.18,44.64,0.02398,2645.7,18.63,0.24,1.853,0.03946,0.93,0.5662,38.447,0.023
