Date,Open,High,Low,Close,VWAP,Volume,Amount,TurnoverRate,MarketCap,PE,PB,PS,DividendYield,Beta,Volatility,FairValue,Mispricing
2020-01-02,143.3033,145.2595,129.3786,131.3305,137.318,1.02,140.72,0.01134,39389.65,83.33,6.85,9.186,0.03375,1.01,0.3131,29.3506,3.4745
2020-01-03,132.802,134.9851,116.2283,118.1975,125.5532,0.57,71.14,0.00627,35450.68,89.14,5.766,8.265,0.01734,1.01,0.3768,24.6587,3.7933
2020-01-06,117.3499,120.8702,105.3906,106.3777,112.4971,0.78,88.2,0.00868,31905.61,91.48,4.911,7.423,0.00412,1.01,0.4373,21.5982,3.9253
2020-01-07,106.3008,107.76,92.9666,95.7399,100.6918,0.68,68.36,0.00751,28715.05,91.2,4.215,6.669,0.02458,1.01,0.4948,19.471,3.9171
2020-01-08,95.3697,98.7022,84.8901,86.1659,91.282,0.69,63.3,0.00768,25843.55,88.21,3.637,5.994,0.03246,1.01,0.5495,18.0972,3.7613
2020-01-09,86.0148,88.5699,74.7522,77.5494,81.7216,0.87,70.94,0.00961,23259.19,82.83,3.149,5.395,0.0236,1.01,0.6014,17.3267,3.4757
2020-01-10,76.2713,77.0726,69.0055,69.7944,73.036,0.74,54.07,0.0082,20933.27,76.61,2.733,4.86,0.02906,1.01,0.6507,16.8437,3.1437
2020-01-13,69.3696,70.6611,61.1972,62.815,66.0107,0.81,53.39,0.00895,18839.95,69.8,2.376,4.368,0.04227,1.01,0.6975,16.6248,2.7784
2020-01-14,63.0686,66.069,53.7553,56.5335,59.8566,0.98,58.36,0.01079,16955.95,62.93,2.068,3.939,0.03549,1.01,0.742,16.5798,2.4098
2020-01-15,57.8571,58.3816,49.337,50.8801,54.1139,0.66,35.95,0.00735,15260.36,56.71,1.802,3.549,0.02601,1.01,0.7843,16.5493,2.0745
2020-01-16,51.6274,52.1846,45.2632,45.7921,48.7168,1.86,90.62,0.02059,13734.32,51.21,1.572,3.205,0.03854,1.01,0.8244,16.479,1.7788
2020-01-17,47.1745,50.0251,39.2012,41.2129,44.4034,0.59,26.14,0.00652,12360.89,46.14,1.373,2.888,0.04544,1.01,0.8626,16.4501,1.5053
2020-01-20,40.6514,41.8137,34.9168,37.0916,38.6184,0.7,27.18,0.00779,11124.8,41.5,1.2,2.598,0.03752,1.01,0.8988,16.4452,1.2555
2020-01-21,36.9236,37.7193,31.8464,33.3825,34.9679,2.08,72.87,0.02307,10012.32,37.26,1.049,2.332,0.04483,1.01,0.9333,16.47,1.0269
2020-01-22,34.5722,34.9446,29.1654,30.0442,32.1816,0.62,20.03,0.00689,9011.09,33.51,0.919,2.097,0.04026,1.01,0.966,16.4728,0.8239
2020-01-23,29.5324,30.5661,25.9807,27.0398,28.2797,0.95,26.77,0.01048,8109.98,30.21,0.805,1.891,0.00657,1.01,0.997,16.4302,0.6457
2020-01-24,27.0495,27.686,23.1769,24.3358,25.5621,0.55,14.02,0.00607,7298.98,27.19,0.705,1.702,0.00208,1.01,1.0266,16.4184,0.4822
2020-01-27,24.5633,25.113,21.2683,21.9022,23.2117,0.9,20.82,0.00993,6569.08,24.53,0.619,1.535,0.02187,1.01,1.0546,16.3679,0.3381
